Genannte Projekte und Initiativen;URL;Beschreibung;Institution
Angebote und Fördermöglichkeiten zu Open Access;https://www.ub.hu-berlin.de/de/forschen-publizieren/open-access;Open Access an der UB der HU Berlin;UB der HU Berlin
BCGE (Banque Cantonale de Genève);https://www.bcge.ch/;Kantonalbank des Kantons Genf;BCGE
Berlin Open Lab;https://berlin-open-lab.org/ ;Labor zur transdisziplinären, experimentellen Erforschung und Gestaltung digitaler Technologien;Universität der Künste Berlin (UdK)
Beteiligung am geplanten NFDI-Konsortium Text+;https://www.text-plus.org/;Aufbau einer auf Sprach- und Textdaten ausgerichteten Forschungsdateninfrastruktur;Leibniz-Institut für Deutsche Sprache (IDS), NFDI
BIH Stakeholder Engagement initiatives;https://www.bihealth.org/en/research/quest-center/mission-approaches/stakeholder-engagement;Projekte zur Einbindung von Patient*innen und anderen Interessngruppen;BIH 
deRSE;https://de-rse.org/;Entwicklung wiss. Software;de-RSE e.V. - Gesellschaft für Forschungssoftware
DFG-Projekt FDNext;https://www.forschungsdaten.org/index.php/FDNext;"Weiterentwicklung des Projekts FDMentor; erarbeitet zentrale Aspekte Forschungsdatenmanagements weiter aus";6 Universitäten, Leitung: Malte Dreyer (CMS der HU)
ECHO;https://echo.mpiwg-berlin.mpg.de/home;Repositorium für kulturelles Erbe;"MPG; Max-Planck-Institut für Wissenschaftsgeschichte"
Eclipse Foundation zur Förderung von OpenSource;http://www.eclipse.org/org/press-release/20131029_efe_de.php;Open-Source-Software-Stiftung ;Eclipse Foundation AISBL
edition open access;https://edition-open-access.de/;Plattform für wiss. Publikationen der MPRL und Edition Open Sources (EOS);"MPG; Max Planck Research Library for the History and Development of Knowledge"
Forschungs- und Kompetenzzentrum Digitalisierung Berlin (digiS);https://www.digis-berlin.de/;Beratung, Unterstützung und Koordinierung von Digitalisierungsprojekten in Berlin;Zuse Institut Berlin (ZIB)
GenderOpen Repositorium;https://www.genderopen.de/;"Repositorium für wiss. Publikationen dem Feld der Geschlechterforschung; DFG-Projekt";FU, HU, TU 
Helmholtz - Open Source Arbeitskreis:;https://os.helmholtz.de/open-science-in-der-helmholtz-gemeinschaft/akteure-und-ihre-rollen/arbeitskreis-open-science/;Open Science Arbeitskreis Helmholtz-Gemeinschaft;Helmholtz-Gemeinschaft
Helmholtz Imaging Platform (HIP);https://www.helmholtz.de/forschung/information-data-science/helmholtz-imaging-platform-hip/;"Forschung und Bereitstellung von Beratungsleistungen im Bereich der Bildgebung; Förderung des Zugangs zu Bildgebungsmodalitäten und Bilddaten";Helmholtz-Gemeinschaft
Helmholtz Information & Data Science Academy (HiDA);https://www.helmholtz-hida.de/ueber-hida/;"Data Science Schools für Promovierende und Post-Docs; Austausch und Networking rund um Datenwissenschaften für die ganze Helmholtz-Gemeinschaft";Helmholtz-Gemeinschaft
HIFIS (Open Reseach ist ein Teil von HIFIS. Inner Source ist allerdings der Hauptfokus.);https://www.hifis.net/;Aufbau einer IT-Infrastruktur für Forschende;Helmholtz-Gemeinschaft
INF Projekt des SFB TRR 170: ;https://info.planetary-data-portal.org/;"DFG gefördert; INF-Projekt";WWU Münster
Inititative Forschungsdatenmanamangent;https://forschungsdatenmanagement.bbaw.de;"zur Sicherung und langfristigen Verfügbarkeit von Forschungsdaten der BBAW; Workflow und Strategie mit FAIR-Prinzipien";BBAW
Leitbild Open Science:;urn:nbn:de:kobv:b4-opus4-31360;Veröffentlicht: 05.06.2019;BBAW
NFDI4Med ;https://www.nfdi4health.de/de/ueber-uns/;Nationale Forschungsdateninfrastruktur für personenbezogene Gesundheitsdaten;Deutsche Zentralbibliothek für Medizin (ZB MED)
Open Access an der TU Berlin;https://www.ub.tu-berlin.de/publizieren/open-access/;Open Access Team der TU Berlin;TU Berlin
Open Access Erklärung der HU Berlin ;https://www.ub.hu-berlin.de/de/forschen-publizieren/open-access/open-access-erklaerung;Leitbild Open Access der HU Berlin;HU Berlin
Open Data für Forschung und Kultur : Die Staatsbibliothek zu Berlin unterstützt den offenen Zugang zu wissenschaftlichem Wissen;https://doi.org/10.17176/20190919-135040-0;"Poster der OA Week 2019; Beteiligung am Aufbau der NFDI";Staatsbibliothek zu Berlin 
Open Gender Journal ;https://opengenderjournal.de;"gefördert durch BUA; begutachtete Open-Access-Zeitschrift für Geschlechterforschung und dessen Umfeld";Fachgesellschaft Geschlechterstudien
Open Science am QUEST Center;https://www.bihealth.org/de/forschung/quest-center/mission-ansaetze/open-science;Open Science QUEST BIH;BIH
Open Science Office in der Helmholtz-Gemeinschaft;https://os.helmholtz.de/ ;Open Science in der Helmholtz-Gemeinschaft;Helmholtz-Gemeinschaft
Open Science Working Group;https://www.fu-berlin.de/sites/open-science/index.html;Stärkung von Open Science an der FU Berlin;FU Berlin
Open-Access-Strategie des Landes Brandenburg;https://www.fh-potsdam.de/forschen/projekte/projekt-detailansicht/project-action/open-access-strategie-des-landes-brandenburg/;Ziel: Formulierung einer Open-Access-Strategie für Brandenburg;FH Potsdam
ORION Project;https://www.orion-openscience.eu/;"durch Horizion2020 gefördert; Förderung von Open Science ";In Deutschland: MDC
QUEST BIH;https://www.bihealth.org/de/forschung/quest-center;Steigerung der Qualität und des Nachnutzung biomedizinischer Forschung;"Charité Universitätsmedizin; BIH"
Quest Center;https://www.bihealth.org/en/research/quest-center/;Steigerung der Qualität und des Nachnutzung biomedizinischer Forschung;BIH der Charité
Technische Universität Berlin;https://www.tu-berlin.de/?id=215686;TU Berlin;TU Berlin
The Sphere Project;https://sphaera.mpiwg-berlin.mpg.de/;Erforschung des Buchs: The Sphere of Sacrobosco ;"MPG; Max-Planck-Institut für Wissenschaftsgeschichte"
;;;
;;;
Weitere genannte Projekte, zu denen keine weiterführenden Informationen gefunden werden konnten;;;
Sustainability initiative ;;;
BUA interdisciplinary lectures for students;;;
ReproducibiliTea;;;
